class_id_a,class_a,class_id_b,class_b,texture_similarity,texture_distance,color_similarity,color_distance,texture_minus_color,color_minus_texture,cause_tag
21,chicken duck,35,fish,0.9958670319940874,0.004132968005912563,0.1767951941233845,0.8232048058766155,0.8190718378707029,-0.8190718378707029,texture-driven
35,fish,69,pie,0.9898877892987653,0.010112210701234692,0.9797837657438501,0.020216234256149934,0.010104023554915242,-0.010104023554915242,mixed
21,chicken duck,69,pie,0.9842354037777076,0.015764596222292426,0.1853572658541336,0.8146427341458664,0.798878137923574,-0.798878137923574,texture-driven
35,fish,73,pork,0.978876687487461,0.02112331251253896,-0.44752535614726474,1.4475253561472647,1.4264020436347258,-1.4264020436347258,texture-driven
21,chicken duck,73,pork,0.9781129094865754,0.021887090513424634,0.6698726551473706,0.3301273448526294,0.30824025433920477,-0.30824025433920477,texture-driven
60,onion,91,spring onion,0.9780808408189934,0.02191915918100662,-0.344467960434802,1.344467960434802,1.3225488012537954,-1.3225488012537954,texture-driven
13,cake,50,lamb,0.9780027631580631,0.021997236841936885,0.8060489398075823,0.1939510601924177,0.17195382335048082,-0.17195382335048082,texture-driven
9,blueberry,20,cherry,0.969992070734255,0.030007929265745026,0.6751374075199593,0.3248625924800407,0.29485466321429565,-0.29485466321429565,texture-driven
69,pie,73,pork,0.9689536761413473,0.03104632385865269,-0.4292057856850535,1.4292057856850535,1.3981594618264008,-1.3981594618264008,texture-driven
38,fried meat,69,pie,0.967504706050876,0.03249529394912398,-0.4166156702430497,1.4166156702430497,1.3841203762939256,-1.3841203762939256,texture-driven
12,cabbage,64,pasta,0.9637980383772635,0.03620196162273648,-0.123928081159274,1.123928081159274,1.0877261195365375,-1.0877261195365375,texture-driven
35,fish,38,fried meat,0.9637871244368907,0.03621287556310926,-0.40432210031525284,1.4043221003152528,1.3681092247521436,-1.3681092247521436,texture-driven
21,chicken duck,38,fried meat,0.9631690013138289,0.036830998686171124,0.7972445351043042,0.20275546489569585,0.16592446620952472,-0.16592446620952472,texture-driven
11,broccoli,71,pizza,0.9571112661059308,0.04288873389406922,-0.1639654466332503,1.1639654466332503,1.121076712739181,-1.121076712739181,texture-driven
9,blueberry,22,chocolate,0.9565712288690186,0.043428771130981425,0.4500553258776603,0.5499446741223397,0.5065159029913583,-0.5065159029913583,texture-driven
20,cherry,22,chocolate,0.9527182706166222,0.047281729383377824,0.2551633313635814,0.7448366686364186,0.6975549392530408,-0.6975549392530408,texture-driven
38,fried meat,73,pork,0.9487303237672067,0.051269676232793326,0.8287213822726286,0.1712786177273714,0.12000894149457808,-0.12000894149457808,texture-driven
